"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"11/01/2023 22:00:00 - 11/01/2023 23:00:00","BZN|SE4","Without sequence","49.91","",""
"11/01/2023 23:00:00 - 12/01/2023 00:00:00","BZN|SE4","Without sequence","43.32","",""
"12/01/2023 00:00:00 - 12/01/2023 01:00:00","BZN|SE4","Without sequence","19.88","",""
"12/01/2023 01:00:00 - 12/01/2023 02:00:00","BZN|SE4","Without sequence","5.55","",""
"12/01/2023 02:00:00 - 12/01/2023 03:00:00","BZN|SE4","Without sequence","4.69","",""
"12/01/2023 03:00:00 - 12/01/2023 04:00:00","BZN|SE4","Without sequence","0.1","",""
"12/01/2023 04:00:00 - 12/01/2023 05:00:00","BZN|SE4","Without sequence","2.73","",""
"12/01/2023 05:00:00 - 12/01/2023 06:00:00","BZN|SE4","Without sequence","24.94","",""
"12/01/2023 06:00:00 - 12/01/2023 07:00:00","BZN|SE4","Without sequence","36.01","",""
"12/01/2023 07:00:00 - 12/01/2023 08:00:00","BZN|SE4","Without sequence","59.98","",""
